Date and Time,Total count,High risk count,Low risk count,safe count
05/02/2021 23:16:27,3,2,0,1
05/02/2021 23:16:27,3,2,0,1
05/02/2021 23:16:27,3,2,0,1
05/02/2021 23:16:27,3,2,0,1
05/02/2021 23:16:27,3,2,0,1
05/02/2021 23:16:27,3,2,0,1
05/02/2021 23:16:27,3,2,0,1
05/02/2021 23:16:27,2,0,0,2
05/02/2021 23:16:27,2,0,0,2
05/02/2021 23:16:27,1,0,0,1
05/02/2021 23:16:27,1,0,0,1
05/02/2021 23:16:27,1,0,0,1
05/02/2021 23:16:27,1,0,0,1
05/02/2021 23:16:27,1,0,0,1
05/02/2021 23:16:27,1,0,0,1
05/02/2021 23:16:27,1,0,0,1
05/02/2021 23:16:27,1,0,0,1
05/02/2021 23:16:27,1,0,0,1
05/02/2021 23:16:27,1,0,0,1
05/02/2021 23:16:27,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,3,2,0,1
06/02/2021 22:30:58,3,2,0,1
06/02/2021 22:30:58,3,2,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,3,0,0,3
06/02/2021 22:30:58,3,0,0,3
06/02/2021 22:30:58,3,0,0,3
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,3,0,0,3
06/02/2021 22:30:58,3,0,0,3
06/02/2021 22:30:58,3,0,0,3
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,3,0,0,3
06/02/2021 22:30:58,3,0,0,3
06/02/2021 22:30:58,3,0,0,3
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,2,0,0,2
06/02/2021 22:30:58,4,3,0,1
06/02/2021 22:30:58,4,3,0,1
06/02/2021 22:30:58,4,3,0,1
06/02/2021 22:30:58,4,3,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:30:58,1,0,0,1
06/02/2021 22:35:22,1,0,0,1
06/02/2021 22:35:22,1,0,0,1
06/02/2021 22:35:22,1,0,0,1
06/02/2021 22:35:22,1,0,0,1
06/02/2021 22:35:22,1,0,0,1
06/02/2021 22:35:22,1,0,0,1
06/02/2021 22:35:22,1,0,0,1
06/02/2021 22:35:22,1,0,0,1
06/02/2021 22:35:22,1,0,0,1
06/02/2021 22:35:22,1,0,0,1
06/02/2021 22:35:22,4,3,0,1
06/02/2021 22:35:22,4,3,0,1
06/02/2021 22:35:22,4,3,0,1
06/02/2021 22:35:22,4,3,0,1
06/02/2021 22:35:22,3,0,0,3
06/02/2021 22:35:22,3,0,0,3
06/02/2021 22:35:22,3,0,0,3
06/02/2021 22:35:22,5,2,0,3
06/02/2021 22:35:22,5,2,0,3
06/02/2021 22:35:22,5,2,0,3
06/02/2021 22:35:22,5,2,0,3
06/02/2021 22:35:22,5,2,0,3
06/02/2021 22:35:22,2,0,0,2
06/02/2021 22:35:22,2,0,0,2
06/02/2021 22:35:22,2,0,0,2
06/02/2021 22:35:22,2,0,0,2
06/02/2021 22:35:22,3,2,0,1
06/02/2021 22:35:22,3,2,0,1
06/02/2021 22:35:22,3,2,0,1
06/02/2021 22:35:22,2,0,0,2
06/02/2021 22:35:22,2,0,0,2
06/02/2021 22:35:22,2,0,0,2
06/02/2021 22:35:22,2,0,0,2
06/02/2021 22:35:22,5,4,0,1
06/02/2021 22:35:22,5,4,0,1
06/02/2021 22:35:22,5,4,0,1
06/02/2021 22:35:22,5,4,0,1
06/02/2021 22:35:22,5,4,0,1
06/02/2021 22:35:22,2,0,0,2
06/02/2021 22:35:22,2,0,0,2
06/02/2021 22:35:22,4,4,0,0
06/02/2021 22:35:22,4,4,0,0
06/02/2021 22:35:22,4,4,0,0
06/02/2021 22:35:22,4,4,0,0
06/02/2021 22:35:22,2,2,0,0
06/02/2021 22:35:22,2,2,0,0
06/02/2021 22:35:22,2,2,0,0
06/02/2021 22:35:22,2,2,0,0
06/02/2021 22:35:22,2,2,0,0
06/02/2021 22:35:22,2,2,0,0
06/02/2021 22:35:22,2,2,0,0
